Customer_ID,Customer_Name,Email,Region,Join_Date
1,Asha O.,user1@example.com,West,2024-05-26
2,Vikram D.,user2@example.com,North,2023-07-08
3,Raj C.,user3@example.com,Central,2024-05-19
4,Sana F.,user4@example.com,South,2023-05-08
5,Sana M.,user5@example.com,Central,2022-06-18
6,Amit A.,user6@example.com,Central,2022-09-29
7,Neha J.,user7@example.com,South,2024-09-07
8,Vikram V.,user8@example.com,West,2022-06-08
9,Sana J.,user9@example.com,North,2022-03-01
10,Rhea X.,user10@example.com,East,2024-02-05
11,Priya B.,user11@example.com,North,2023-05-04
12,Vikram Q.,user12@example.com,North,2024-09-10
13,Vikram C.,user13@example.com,Central,2022-03-12
14,Rhea C.,user14@example.com,West,2022-08-29
15,Amit D.,user15@example.com,Central,2023-08-07
16,Sana S.,user16@example.com,East,2023-09-27
17,Asha N.,user17@example.com,West,2023-08-02
18,Vikram K.,user18@example.com,Central,2022-07-29
19,Priya H.,user19@example.com,South,2022-05-15
20,Karan O.,user20@example.com,South,2024-02-09
21,Asha A.,user21@example.com,East,2023-07-31
22,Asha C.,user22@example.com,East,2023-06-03
23,Karan E.,user23@example.com,Central,2024-06-21
24,Asha H.,user24@example.com,South,2022-06-11
25,Neha R.,user25@example.com,West,2023-09-19
26,Vikram A.,user26@example.com,West,2023-07-22
27,Karan V.,user27@example.com,North,2024-06-18
28,Om I.,user28@example.com,North,2022-04-20
29,Vikram E.,user29@example.com,South,2023-09-12
30,Sana W.,user30@example.com,South,2023-12-05
31,Karan Q.,user31@example.com,East,2024-07-16
32,Raj C.,user32@example.com,East,2024-04-29
33,Karan B.,user33@example.com,North,2024-02-29
34,Om U.,user34@example.com,Central,2022-06-15
35,Neha R.,user35@example.com,West,2023-07-29
36,Raj D.,user36@example.com,North,2024-06-23
37,Om R.,user37@example.com,North,2023-01-14
38,Rhea R.,user38@example.com,North,2022-05-11
39,Raj J.,user39@example.com,South,2024-08-13
40,Raj L.,user40@example.com,North,2022-09-13
41,Asha L.,user41@example.com,West,2024-06-24
42,Amit T.,user42@example.com,West,2024-08-05
43,Sana F.,user43@example.com,Central,2024-04-10
44,Om N.,user44@example.com,North,2024-01-25
45,Priya Z.,user45@example.com,Central,2024-04-01
46,Sana I.,user46@example.com,North,2023-12-20
47,Asha M.,user47@example.com,Central,2024-05-29
48,Neha H.,user48@example.com,North,2024-07-29
49,Neha L.,user49@example.com,South,2024-03-25
50,Sana H.,user50@example.com,North,2022-07-17
51,Amit K.,user51@example.com,South,2022-03-13
52,Karan L.,user52@example.com,East,2023-02-14
53,Vikram K.,user53@example.com,Central,2022-04-29
54,Karan F.,user54@example.com,East,2022-09-29
55,Raj D.,user55@example.com,East,2022-12-20
56,Priya N.,user56@example.com,East,2023-06-08
57,Asha M.,user57@example.com,Central,2022-07-14
58,Karan B.,user58@example.com,West,2022-01-02
59,Vikram Z.,user59@example.com,East,2024-01-07
60,Sana L.,user60@example.com,South,2024-08-29
61,Priya T.,user61@example.com,South,2024-05-18
62,Asha X.,user62@example.com,Central,2023-06-04
63,Karan V.,user63@example.com,South,2023-02-17
64,Karan R.,user64@example.com,North,2023-03-07
65,Amit V.,user65@example.com,West,2022-06-28
66,Rhea S.,user66@example.com,South,2023-07-16
67,Raj J.,user67@example.com,South,2023-03-17
68,Rhea T.,user68@example.com,West,2023-04-22
69,Neha O.,user69@example.com,West,2023-06-08
70,Neha Z.,user70@example.com,Central,2024-03-26
71,Om V.,user71@example.com,North,2023-06-12
72,Rhea K.,user72@example.com,North,2024-09-01
73,Sana V.,user73@example.com,South,2024-04-05
74,Sana E.,user74@example.com,North,2022-09-08
75,Neha T.,user75@example.com,West,2022-03-16
76,Neha N.,user76@example.com,Central,2023-08-13
77,Sana W.,user77@example.com,West,2023-05-22
78,Amit H.,user78@example.com,North,2023-12-06
79,Raj Y.,user79@example.com,Central,2024-06-25
80,Asha Y.,user80@example.com,South,2022-06-30
81,Vikram O.,user81@example.com,North,2022-09-13
82,Asha O.,user82@example.com,North,2023-04-21
83,Vikram R.,user83@example.com,East,2024-08-30
84,Neha T.,user84@example.com,West,2024-07-02
85,Vikram N.,user85@example.com,West,2023-07-16
86,Neha F.,user86@example.com,West,2023-05-02
87,Neha I.,user87@example.com,West,2024-05-10
88,Karan Y.,user88@example.com,West,2023-05-12
89,Sana I.,user89@example.com,South,2024-01-01
90,Karan H.,user90@example.com,South,2022-11-24
91,Vikram C.,user91@example.com,North,2022-08-25
92,Amit W.,user92@example.com,North,2022-08-08
93,Asha N.,user93@example.com,South,2023-07-10
94,Neha N.,user94@example.com,North,2024-05-02
95,Amit M.,user95@example.com,Central,2023-08-22
96,Raj Y.,user96@example.com,East,2023-05-04
97,Raj L.,user97@example.com,South,2023-02-04
98,Amit R.,user98@example.com,West,2023-07-14
99,Rhea H.,user99@example.com,East,2022-10-07
100,Amit P.,user100@example.com,North,2022-12-11
101,Amit X.,user101@example.com,North,2023-04-24
102,Om T.,user102@example.com,East,2024-07-17
103,Amit S.,user103@example.com,East,2022-01-28
